location,lat,lon
Sarai Kale Khan,28.5891891,77.2580654
INA Market,28.5741862,77.2102033
Greater Kailash,28.5419077,77.2384925
Sohna Road,28.3910396,77.0488731
Sultanpur,26.2604732,82.2380532
Manesar,28.3247096,76.9263787
Rohini West,28.7149569,77.115385
Noida Film City,28.5628133,77.316257
Ashram,28.5724231,77.2585979
Arjangarh,28.4787294,77.1209508
Huda City Centre,28.4593429,77.0726571
Barakhamba Road,28.6301048,77.2244335
Keshav Puram,28.6889264,77.1616833
Anand Vihar,28.646841,77.3160332
Welcome,28.6717907,77.2778473
Hauz Khas,28.5498087,77.2077638
Chhatarpur,24.7606089,79.6781776
Yamuna Bank,28.6232554,77.2678697
Karol Bagh,28.6529982,77.1890227
Raj Nagar Extension,26.898316,75.7759015
Kadarpur,24.2015554,77.7437817
Rithala,28.7208064,77.1071813
Malviya Nagar,28.5339201,77.2124474
Kashmere Gate ISBT,28.6686963,77.2304228
Nawada,24.8173249,85.5179085
Tagore Garden,28.6437265,77.11282
Lal Quila,28.657483,77.2366607
Chandni Chowk,28.6559834,77.2321937
Okhla,28.5636616,77.2890546
Panipat,29.3912753,76.9771675
IMT Manesar,28.3671851,76.920669
Vishwavidyalaya,26.4964612,80.2674068
Mehrauli,28.5218262,77.1783232
Basai Dhankot,28.4645841,76.9828171
Gwal Pahari,28.4326344,77.1480585
Vinobapuri,28.565871,77.2492973
New Colony,26.7944934,82.204727
Shahdara,28.6758661,77.2985078
Punjabi Bagh,28.672995,77.1461239
IIT Delhi,28.5449971,77.1891506
IFFCO Chowk,28.4723277,77.0724222
Civil Lines Gurgaon,28.4616851,77.0339023
Anand Vihar ISBT,28.6467533,77.3180037
Badarpur,28.4932633,77.3030303
Narsinghpur,22.934556,79.0867849
Shastri Nagar,12.9987729,80.2599116
Kherki Daula Toll,,
Panchsheel Park,28.5423747,77.2210916
Mundka,28.6824341,77.0305741
Dilshad Garden,28.6758864,77.321446
Uttam Nagar,28.6215226,77.0611064
Shivaji Park,19.0272788,72.8383977
Chirag Delhi,28.5381411,77.2280694
Udyog Vihar,28.6822073,77.0884362
Udyog Bhawan,28.6095136,77.211796
DLF City Court,28.4956927,77.0912123
Laxmi Nagar,28.6305974,77.277523
Saket,28.521168,77.2022237
Bhiwadi,28.2039413,76.837441
Connaught Place,28.6314022,77.2193791
South Extension,28.5685664,77.2205677
Ashok Vihar,19.116503,72.886755
Adarsh Nagar,17.7646049,83.3307817
RK Puram,28.5656918,77.174646
Lok Kalyan Marg,28.5973513,77.2110967
Hauz Rani,28.5291809,77.2117586
Subhash Nagar,28.6404628,77.1052347
Noida Extension,28.6063158,77.432198
Moti Nagar,28.657859,77.1424288
Subhash Chowk,23.0524038,72.5336995
Seelampur,28.6698165,77.2668137
Preet Vihar,28.6414176,77.2952819
Rajouri Garden,28.6490563,77.1227198
Model Town,28.707334,77.1885231
Ambience Mall,28.5412453,77.1551082
Lajpat Nagar,28.5660924,77.2432851
Tughlakabad,28.5025432,77.2993825
Old Gurgaon,28.5337309,77.089943
Noida Sector 62,28.6169861,77.3735885
Paharganj,28.6414989,77.2140607
Janakpuri,28.6219272,77.0874757
Rohini,28.7162092,77.1170743
Ardee City,28.4410412,77.0792079
Dwarka Mor,28.61931,77.0332792
Jor Bagh,28.5865094,77.2125273
Rohini East,28.7075774,77.1259971
Cyber Hub,28.4951011,77.0885127
Green Park,28.5564421,77.2038699
Mayur Vihar,28.6098555,77.2926318
DLF Phase 3,28.4919048,77.0937804
Karkarduma,28.6483664,77.3054302
Aya Nagar,28.4764911,77.1329132
Golf Course Road,10.9204695,77.0196215
Delhi Gate,28.6392174,77.2407795
Indirapuram,28.6380466,77.3644168
Dwarka Sector 21,28.5519218,77.0585605
Faridabad Sector 15,28.4031478,77.3105561
Qutub Minar,28.524413,77.1854501
Sikanderpur,28.4812716,77.0930017
Ghitorni,28.4931214,77.1424868
Saket A Block,28.5277851,77.2050986
Pulbangash,28.664396,77.212246
Sarojini Nagar,28.575817,77.1980786
Indraprastha,28.6206019,77.249551
Tilak Nagar,28.6365482,77.0964961
Khandsa,28.4533282,77.0195396
Sushant Lok,28.4704308,77.0798072
Central Secretariat,28.6158758,77.2123449
Kanhaiya Nagar,28.6824082,77.1647754
Noida Sector 18,28.5707583,77.3260756
Ghitorni Village,28.4931214,77.1424868
Pragati Maidan,28.6172378,77.2434616
Vaishali,25.7491703,85.3972164
Ashok Park Main,28.6716045,77.155291
Jama Masjid,27.1820266,78.0161576
Hero Honda Chowk,28.7404709,77.1658628
Chanakyapuri,28.5946775,77.1885212
Maidan Garhi,28.4987734,77.1944475
Botanical Garden,28.5640067,77.3340125
New Delhi Railway Station,28.6402816,77.2204103
Ghaziabad,28.7749966,77.4586967
Rajiv Chowk,28.6314022,77.2193791
Meerut,29.0018557,77.7679671
Mansarovar Park,28.675385,77.3008678
ITO,28.6281909,77.2410437
Vidhan Sabha,26.8437815,80.9441908
Rajiv Nagar,20.2507628,85.7826009
Kalkaji,28.5469476,77.258801
Sonipat,28.9953758,77.0233627
Sadar Bazar Gurgaon,28.4608629,77.0292838
Kirti Nagar,28.6545409,77.1513605
Pitampura,28.7032676,77.1322497
Moolchand,28.5644044,77.2342555
AIIMS,28.5668602,77.2078058
Jhilmil,28.6757197,77.3123949
IGI Airport,28.5564626,77.0866995
Saidulajab,28.5204237,77.2022859
Akshardham,28.6125167,77.2773184
GTB Nagar,28.6981333,77.2063998
Gurgaon Railway Station,28.4890874,77.0111572
Khan Market,28.5995141,77.2259785
Satguru Ram Singh Marg,28.6121218,77.1042887
Peeragarhi,28.6773142,77.0931024
Azadpur,28.7070448,77.1803722
Gurgaon Sector 56,28.4252244,77.0992377
Mandi House,28.6256122,77.2341966
Pataudi Chowk,,
Vasant Kunj,28.5292495,77.1541335
Paschim Vihar,28.6695782,77.095956
Gurgaon Sector 29,28.4740484,77.0713285
Kashmere Gate,28.666553,77.22903
Jahangirpuri,28.7259717,77.162658
Inderlok,28.6727066,77.1691872
Jasola,28.5427353,77.2913342
Ramesh Nagar,28.6527444,77.1316496
Kaushambi,25.5342456,81.4493567
Govindpuri,26.4536771,80.312879
MG Road,12.9755264,77.6067902
Greater Noida,28.4670734,77.5137649
IGNOU Road,28.5159032,77.2056737
Udyog Vihar Phase 4,28.4971745,77.0813511
Shastri Park,28.6684339,77.2505301
Bhikaji Cama Place,28.5702618,77.1878709
Vatika Chowk,26.8719028,80.912615
Tis Hazari,28.6671626,77.2166306
Munirka,28.554886,77.1710841
Nirman Vihar,28.6364592,77.2868145
Nehru Place,28.5492574,77.2529526
Madipur,28.6764752,77.1193599
Bahadurgarh,28.6933239,76.9332373
Badshahpur,28.3932757,77.0484201
Netaji Subhash Place,28.6960518,77.1526404
Patel Chowk,28.6229664,77.214031
India Gate,28.6129332,77.2294928
Palam Vihar,28.5054709,77.0381625
Samaypur Badli,28.7446411,77.1382701
