cluster,count,centroid_lat,centroid_lon
11,5133,28.52475946150399,77.2065468584064
32,4241,28.63481214713511,77.21967865501061
24,3380,28.49497385473373,77.08872907426036
73,2626,28.64023250308454,77.10482115616907
122,2562,28.676540204996098,77.09239617798596
3,2516,28.616154175119238,77.2127310213434
15,2482,28.565445430942788,77.24219605777598
56,2480,28.472252061250003,77.07456326737903
69,1757,28.61885570808196,77.24639019590211
22,1745,28.68562060802292,77.16325149971348
18,1742,28.67229336423651,77.15074954919633
5,1739,28.570356795744683,77.20895009269695
28,1720,28.523053426046513,77.18170433395348
17,1707,28.70544143585237,77.12909592811951
115,1702,28.553059143948296,77.20585574324323
51,1699,28.707190846851088,77.18448842848734
54,1695,28.392178098112097,77.04864245752212
20,1691,28.665767029450027,77.21441885322294
70,1688,28.675617284656397,77.2997283450237
117,1678,28.656719794755663,77.23438726853396
46,1674,28.64679783106332,77.31700314743131
108,1673,28.548162557561266,77.25572473460849
39,1669,28.656228777112045,77.14681705284602
9,1669,28.715587927142,77.11623622905931
52,1664,28.62696198828125,77.23778062890625
31,1662,28.638926466425996,77.29102782117931
16,1659,28.667627879807114,77.22972849885473
25,1657,28.46128317966204,77.03164461442366
77,1655,28.650854666586103,77.12707408918429
94,1652,28.540365533898303,77.22440309830509
4,1637,28.4931214,77.1424868
40,1611,28.675802170453135,77.31687269435133
2,947,28.4533282,77.0195396
95,912,28.493263300000002,77.3030303
12,908,28.6764752,77.1193599
78,908,28.5519218,77.0585605
102,892,19.0272788,72.8383977
87,888,28.5419077,77.2384925
65,886,26.4964612,80.26740680000002
43,884,28.5427353,77.2913342
119,882,28.6727066,77.1691872
104,879,28.7259717,77.162658
53,878,20.2507628,85.7826009
72,878,24.8173249,85.51790849999999
121,875,23.0524038,72.5336995
83,874,28.5865094,77.2125273
86,872,28.5973513,77.2110967
79,872,28.5628133,77.316257
14,872,28.5564626,77.0866995
30,872,26.7944934,82.204727
97,872,28.7446411,77.1382701
118,870,28.4890874,77.0111572
123,868,28.5292495,77.1541335
127,867,28.541245299999996,77.1551082
89,866,28.6981333,77.20639979999999
37,866,28.652998200000003,77.1890227
100,865,28.5946775,77.1885212
71,865,28.720806399999997,77.10718129999998
80,864,28.6129332,77.2294928
41,863,28.476491099999997,77.13291319999999
1,860,12.9987729,80.2599116
7,860,28.6098555,77.2926318
6,860,25.7491703,85.3972164
26,860,28.6684339,77.2505301
19,859,28.4670734,77.5137649
76,859,28.5640067,77.3340125
82,859,28.572423100000005,77.2585979
47,856,28.5025432,77.2993825
84,856,28.4645841,76.98281710000002
109,853,28.9953758,77.0233627
44,853,28.4410412,77.0792079
98,850,28.740470900000002,77.1658628
75,849,28.4593429,77.0726571
35,848,17.7646049,83.3307817
124,848,25.5342456,81.44935669999998
64,845,28.5891891,77.2580654
63,844,28.4812716,77.0930017
101,844,28.5656918,77.174646
88,844,28.575817,77.1980786
99,844,28.6392174,77.2407795
107,843,28.6380466,77.3644168
92,842,28.774996600000005,77.4586967
103,842,28.6219272,77.0874757
38,842,26.2604732,82.2380532
13,841,27.1820266,78.0161576
85,840,26.898316000000005,75.7759015
120,840,28.2039413,76.837441
58,838,28.6121218,77.1042887
36,837,29.3912753,76.9771675
49,837,28.61931,77.0332792
93,836,22.934556,79.0867849
60,835,28.612516699999997,77.2773184
112,834,24.201555399999997,77.7437817
111,834,28.5685664,77.2205677
62,833,28.367185100000004,76.920669
48,828,28.6483664,77.3054302
45,827,29.001855700000004,77.7679671
8,827,28.616986099999995,77.3735885
90,826,26.871902800000004,80.912615
106,826,28.6717907,77.2778473
29,826,28.6824341,77.0305741
61,826,24.7606089,79.6781776
33,825,28.669816499999996,77.2668137
27,825,28.403147799999996,77.3105561
110,823,28.6960518,77.1526404
68,823,28.5995141,77.2259785
114,821,28.324709600000002,76.9263787
105,821,26.4536771,80.31287899999998
81,820,28.4252244,77.0992377
57,820,28.5449971,77.1891506
10,819,26.8437815,80.9441908
50,819,28.621522600000002,77.0611064
67,819,28.6232554,77.2678697
23,818,28.563661600000003,77.2890546
66,817,28.4987734,77.1944475
125,817,28.570261800000004,77.1878709
34,816,28.6063158,77.432198
0,813,28.5054709,77.0381625
42,811,12.9755264,77.6067902
59,811,28.554885999999996,77.1710841
91,811,10.920469499999998,77.0196215
96,808,28.4326344,77.1480585
113,805,28.4787294,77.1209508
126,803,28.533730900000002,77.089943
21,795,28.5707583,77.3260756
55,791,28.693323900000003,76.9332373
74,789,28.6305974,77.277523
116,784,19.116503,72.886755
